symbol,side,entry,exit,amount,pnl,reason,opened_at,closed_at
BTC/USDT,SELL,63082.3,62326.3,0.31704765,239.68802340000002,Take Profit,2026-08-04T23:32:47.867115,2026-08-04T23:32:47.867664
BTC/USDT,SELL,62326.3,62642.5,0.39780766,-125.78678209199884,Stop Loss,2026-08-04T23:32:47.879921,2026-08-04T23:32:47.883628
BTC/USDT,SELL,62767.0,63251.3,0.35493778,-171.89636685400103,Stop Loss,2026-08-04T23:32:47.890091,2026-08-04T23:32:47.890761
BTC/USDT,SELL,63208.0,63756.3,0.29806508,-163.42908336400086,Stop Loss,2026-08-04T23:32:47.898150,2026-08-04T23:32:47.898839
BTC/USDT,BUY,63756.3,63418.2,0.24423608,-82.57621864800142,Stop Loss,2026-08-04T23:32:47.911805,2026-08-04T23:32:47.912472
BTC/USDT,SELL,63779.2,64099.9,0.2182501,-69.99280707000095,Stop Loss,2026-08-04T23:32:47.920054,2026-08-04T23:32:47.920770
BTC/USDT,BUY,64099.9,64195.2,0.19532192,18.61417897599915,Закрытие по последней свече,2026-08-04T23:32:47.932458,2026-08-04T23:32:47.933208
